Nome_do_bairro,Moradores domicílios particulares e coletivos,Pessoas responsáveis feminino,Pessoas responsáveis masculino,Sem rendimento mensal masculino,Até 1/2 salário mensal masculino,1/2 a 1 salário mensal masculino,1 a 2 salários mensais masculino,2 a 3 salários mensais masculino,3 a 5 salários mensais masculino,5 a 10 salários mensais masculino,10 a 15 salários mensais masculino,Mais de 15 salários mensais masculino,Sem rendimento mensal feminino,Até 1/2 salário mensal feminino,1/2 a 1 salário mensal feminino,1 a 2 salários mensais feminino,2 a 3 salários mensais feminino,3 a 5 salários mensais feminino,5 a 10 salários mensais feminino,10 a 15 salários mensais feminino,Mais de 15 salários mensais feminino
Alecrim,28705,3711.0,4967.0,219.0,50.0,1182.0,1459.0,691.0,659.0,555.0,91.0,61.0,350.0,96.0,1325.0,972.0,373.0,314.0,209.0,42.0,30.0
Areia Preta,1956,260.0,338.0,9.0,1.0,19.0,68.0,44.0,45.0,53.0,26.0,73.0,15.0,2.0,41.0,72.0,25.0,32.0,37.0,8.0,28.0
Barro Vermelho,10087,1157.0,1727.0,57.0,3.0,72.0,158.0,143.0,254.0,435.0,191.0,414.0,86.0,13.0,121.0,134.0,112.0,179.0,281.0,80.0,151.0
Bom Pastor,18224,2095.0,3104.0,203.0,129.0,1285.0,1057.0,224.0,121.0,79.0,3.0,3.0,419.0,214.0,1033.0,320.0,67.0,31.0,10.0,1.0,0.0
Candelária,22391,2746.0,4129.0,245.0,14.0,225.0,407.0,315.0,520.0,1107.0,433.0,863.0,339.0,25.0,283.0,330.0,273.0,472.0,634.0,176.0,214.0
Capim Macio,22760,3151.0,4215.0,157.0,6.0,141.0,291.0,307.0,574.0,1211.0,568.0,960.0,299.0,15.0,232.0,369.0,351.0,530.0,819.0,253.0,283.0
Cidade Alta,7123,1110.0,1159.0,58.0,26.0,282.0,245.0,132.0,146.0,167.0,57.0,46.0,88.0,86.0,269.0,216.0,104.0,135.0,152.0,22.0,38.0
Cidade Nova,17651,1977.0,3233.0,227.0,76.0,1180.0,1163.0,293.0,189.0,91.0,6.0,8.0,325.0,211.0,881.0,389.0,97.0,51.0,20.0,3.0,0.0
Cidade da Esperança,19356,2500.0,2853.0,150.0,21.0,625.0,833.0,376.0,379.0,297.0,39.0,133.0,343.0,91.0,863.0,564.0,210.0,226.0,152.0,16.0,35.0
Dix-Sept Rosado,15689,1935.0,2671.0,146.0,45.0,885.0,874.0,288.0,251.0,150.0,10.0,22.0,285.0,110.0,847.0,421.0,122.0,98.0,42.0,7.0,3.0
Filipe Camarão,50997,5849.0,8563.0,579.0,301.0,3365.0,2998.0,694.0,417.0,171.0,15.0,23.0,1035.0,926.0,2610.0,960.0,166.0,95.0,50.0,5.0,2.0
Guarapés,10250,1296.0,1527.0,165.0,175.0,754.0,343.0,50.0,33.0,5.0,1.0,1.0,314.0,379.0,464.0,120.0,11.0,8.0,0.0,0.0,0.0
Igapó,28819,3652.0,4858.0,258.0,108.0,1496.0,1832.0,564.0,382.0,190.0,14.0,14.0,592.0,326.0,1542.0,819.0,180.0,130.0,55.0,5.0,3.0
Lagoa Azul,61289,6939.0,10353.0,762.0,288.0,3870.0,3567.0,908.0,690.0,225.0,23.0,20.0,1105.0,790.0,3146.0,1389.0,276.0,166.0,59.0,5.0,3.0
Lagoa Nova,37518,4775.0,6731.0,248.0,29.0,578.0,807.0,489.0,904.0,1752.0,665.0,1259.0,413.0,75.0,758.0,636.0,441.0,679.0,1085.0,305.0,383.0
Lagoa Seca,5791,798.0,936.0,34.0,3.0,168.0,206.0,105.0,150.0,166.0,42.0,62.0,71.0,15.0,220.0,167.0,81.0,94.0,108.0,18.0,24.0
Mãe Luíza,14959,1911.0,2162.0,202.0,67.0,851.0,682.0,171.0,106.0,41.0,14.0,28.0,307.0,203.0,935.0,353.0,48.0,28.0,17.0,6.0,14.0
Neópolis,22465,2979.0,3796.0,159.0,17.0,392.0,788.0,501.0,723.0,834.0,176.0,206.0,302.0,55.0,592.0,600.0,400.0,485.0,426.0,76.0,43.0
Nordeste,11521,1429.0,1912.0,126.0,62.0,619.0,590.0,190.0,193.0,96.0,24.0,12.0,215.0,148.0,554.0,271.0,91.0,74.0,59.0,11.0,6.0
Nossa Senhora da Apresentação,79759,8682.0,14062.0,949.0,519.0,5013.0,4938.0,1318.0,872.0,372.0,44.0,37.0,1491.0,1329.0,3536.0,1640.0,338.0,242.0,90.0,11.0,5.0
Nossa Senhora de Nazaré,16136,2060.0,2714.0,131.0,50.0,775.0,808.0,320.0,269.0,221.0,63.0,77.0,265.0,140.0,814.0,440.0,151.0,117.0,90.0,21.0,22.0
Nova Descoberta,12467,1641.0,2000.0,72.0,12.0,408.0,523.0,218.0,249.0,309.0,90.0,119.0,97.0,56.0,540.0,339.0,135.0,143.0,166.0,37.0,32.0
Pajuçara,58021,6036.0,10668.0,617.0,203.0,3278.0,3834.0,1218.0,985.0,466.0,38.0,29.0,841.0,598.0,2513.0,1396.0,361.0,242.0,79.0,3.0,3.0
Petrópolis,4871,789.0,944.0,29.0,2.0,43.0,65.0,34.0,95.0,222.0,114.0,340.0,53.0,6.0,69.0,55.0,46.0,100.0,228.0,84.0,148.0
Pitimbú,24209,2486.0,4595.0,156.0,9.0,265.0,667.0,645.0,929.0,1360.0,311.0,253.0,198.0,21.0,371.0,444.0,378.0,483.0,469.0,77.0,45.0
Planalto,31206,3576.0,5746.0,423.0,142.0,1799.0,2002.0,632.0,492.0,224.0,18.0,14.0,773.0,366.0,1389.0,711.0,172.0,120.0,41.0,3.0,1.0
Ponta Negra,24681,3037.0,4912.0,196.0,61.0,722.0,923.0,470.0,614.0,961.0,365.0,600.0,311.0,80.0,618.0,594.0,343.0,391.0,451.0,120.0,129.0
Potengi,57848,6651.0,9671.0,495.0,81.0,2116.0,3137.0,1480.0,1388.0,801.0,109.0,64.0,932.0,255.0,2391.0,1681.0,652.0,469.0,242.0,18.0,11.0
Praia do Meio,4770,678.0,944.0,39.0,19.0,173.0,236.0,89.0,120.0,164.0,57.0,47.0,60.0,29.0,201.0,119.0,67.0,71.0,97.0,21.0,13.0
Quintas,27375,3651.0,4288.0,307.0,89.0,1390.0,1441.0,465.0,378.0,185.0,22.0,11.0,537.0,265.0,1588.0,797.0,199.0,167.0,89.0,3.0,6.0
Redinha,16630,1714.0,2944.0,381.0,120.0,887.0,809.0,287.0,297.0,136.0,14.0,13.0,377.0,226.0,646.0,289.0,95.0,55.0,21.0,3.0,2.0
Ribeira,2222,315.0,449.0,10.0,6.0,42.0,61.0,62.0,84.0,88.0,34.0,62.0,25.0,13.0,62.0,41.0,35.0,32.0,57.0,19.0,31.0
Rocas,10452,1415.0,1660.0,102.0,28.0,383.0,533.0,241.0,219.0,127.0,12.0,15.0,176.0,60.0,516.0,354.0,133.0,107.0,57.0,7.0,5.0
Salinas,1177,141.0,190.0,29.0,16.0,112.0,24.0,4.0,2.0,3.0,0.0,0.0,29.0,38.0,64.0,10.0,0.0,0.0,0.0,0.0,0.0
Santos Reis,5641,721.0,812.0,50.0,17.0,247.0,244.0,80.0,72.0,75.0,13.0,14.0,107.0,55.0,312.0,126.0,52.0,27.0,32.0,4.0,6.0
Tirol,16148,2341.0,2896.0,59.0,5.0,87.0,146.0,134.0,362.0,735.0,348.0,1020.0,203.0,8.0,184.0,190.0,136.0,331.0,619.0,252.0,418.0
